연도,역번호,역명,1월 승차, 1월 하차,2월 승차, 2월 하차,3월 승차,3월 하차,4월 승차,4월 하차,5월 승차,5월 하차,6월 승차,6월 하차,7월 승차,7월 하차,8월 승차,8월 하차,9월 승차,9월 하차,10월 승차,10월 하차,11월 승차,11월 하차,12월 승차,12월 하차
2008,104,대전,"272,688","263,931","243,845","239,237","280,495","272,879","273,434","268,204","288,652","282,751","275,840","269,856","271,983","266,476","266,033","261,454","263,019","258,481","280,482","275,169","274,377","266,808","292,285","285,443"
2008,105,중앙로,"185,443","202,428","183,090","196,262","193,571","210,903","176,752","194,250","196,534","211,946","171,339","184,795","187,872","204,239","175,649","190,641","166,384","183,755","177,744","197,876","175,362","192,044","209,774","229,310"
2008,106,중구청,"58,813","64,044","51,062","55,414","63,461","67,955","62,733","67,187","62,319","66,697","62,187","66,803","64,111","67,969","56,106","59,743","59,588","62,942","66,103","69,853","62,828","66,732","66,279","71,943"
2008,107,서대전네거리,"182,052","187,212","163,334","168,542","194,938","200,136","186,330","192,517","195,238","201,594","185,003","191,376","187,941","197,361","174,311","183,511","171,004","177,838","186,330","192,741","184,051","188,750","207,557","211,314"
2008,108,오룡,"94,242","83,203","82,029","73,227","102,305","89,687","100,610","88,758","101,200","88,307","97,497","85,748","96,836","83,995","88,951","77,334","94,036","81,599","103,929","89,843","102,991","87,802","111,219","96,355"
2008,109,용문,"168,672","171,202","151,323","153,125","179,037","181,393","173,433","177,808","178,826","181,854","170,453","173,354","175,137","177,987","161,498","162,443","162,827","166,846","181,017","183,922","178,881","181,328","200,823","203,479"
2008,110,탄방,"101,502","115,331","89,592","101,742","105,969","120,833","104,230","117,291","110,399","124,770","107,223","120,284","111,424","126,014","102,383","115,833","103,448","117,439","112,759","128,734","108,389","124,529","120,559","138,518"
2008,111,시청,"189,880","209,246","162,275","181,509","184,309","206,674","178,694","199,410","185,973","206,612","178,704","198,382","190,573","209,105","174,216","191,549","170,359","190,765","185,890","207,508","181,390","204,501","203,838","228,061"
2008,112,정부청사,"126,729","142,271","110,340","122,803","127,327","144,214","125,924","142,781","132,803","149,588","124,064","140,289","126,930","141,273","117,444","128,389","118,380","129,865","138,133","151,287","132,354","145,335","144,443","159,522"
2008,113,갈마,"83,352","81,482","74,787","72,470","86,131","84,430","85,946","83,034","90,346","86,006","85,110","81,504","87,525","84,788","81,568","78,958","82,264","79,033","90,186","86,282","87,315","84,132","94,986","90,572"
2008,114,월평,"95,065","94,420","86,271","84,471","101,861","99,984","100,211","99,243","105,557","104,374","100,981","99,771","101,492","99,757","95,623","95,067","95,330","94,633","102,085","100,369","102,452","101,245","109,206","106,997"
2008,115,갑천,"25,644","25,733","23,245","23,416","29,801","29,853","29,128","29,771","30,502","30,728","28,916","29,174","28,090","28,297","26,277","26,455","27,274","27,100","29,690","30,034","29,928","30,448","31,352","31,416"
2008,116,유성온천,"123,497","122,941","112,771","110,165","154,801","149,266","152,954","147,022","160,064","155,503","146,642","143,331","136,225","134,890","131,641","130,738","144,103","140,614","162,665","157,689","158,698","155,196","164,433","161,115"
2008,117,구암,"65,445","62,992","60,605","57,104","78,014","73,300","76,805","72,375","80,092","77,992","77,105","75,632","75,280","73,201","71,528","69,520","75,558","72,755","81,860","78,715","78,080","75,961","81,527","78,078"
2008,118,현충원,"21,601","17,050","19,921","15,637","36,567","33,299","42,448","36,953","42,539","37,291","34,746","30,885","28,620","23,487","32,014","25,447","39,064","35,177","43,816","38,944","40,549","36,647","33,576","29,388"
2008,119,월드컵경기장,"51,183","46,477","43,048","39,943","55,579","51,660","55,453","51,326","61,599","62,580","58,268","54,990","56,217","54,248","50,253","46,679","53,924","50,113","63,869","60,481","56,001","55,083","58,871","53,444"
2008,120,노은,"81,810","82,517","70,893","72,576","81,922","84,182","80,723","82,694","86,786","88,550","83,997","85,672","89,324","90,698","83,246","85,723","82,762","85,453","90,065","92,562","87,312","88,667","95,599","96,040"
2008,121,지족,"66,864","64,940","57,108","55,283","73,083","72,954","73,433","72,966","74,758","72,935","70,672","69,388","69,824","69,064","64,101","62,986","72,514","71,494","82,750","83,185","81,239","81,371","83,791","83,691"
2008,122,반석,"71,666","65,673","64,324","59,012","74,515","68,226","74,740","69,399","77,392","71,357","75,294","70,346","79,704","74,582","72,336","68,106","71,703","66,222","77,086","71,318","72,796","68,149","77,668","72,206"
2009,101,판암,"125,847","113,593","124,994","112,138","145,604","131,818","144,102","129,468","144,287",129936,"140,228","124,653","138,309","122,874","135,983","122,049","141,475","126,350","142,535","126,994","133,565","119,257","139,018","121,280"
2009,102,신흥,"55,179","46,953","53,585","45,783","60,381","51,042","59,008","48,920","59,833",50158,"57,875","49,343","59,519","49,573","59,582","50,398","60,594","50,612","59,087","49,053","56,049","46,446","60,581","50,352"
2009,103,대동,"117,239","96,197","118,216","97,527","164,671","138,781","157,544","132,324","156,780",129982,"144,302","119,810","135,210","109,202","128,943","105,199","153,802","126,136","146,805","121,076","142,866","119,328","143,421","118,445"
2009,104,대전,"308,601","298,437","297,732","290,174","331,366","321,771","322,129","316,562","334,461",326162,"311,194","306,217","304,632","300,683","322,782","315,094","308,860","308,852","310,150","309,086","291,519","287,982","313,388","314,453"
2009,105,중앙로,"209,085","221,870","216,838","229,051","223,775","237,100","201,763","216,492","223,141",237511,"192,713","205,940","209,416","224,453","213,860","224,967","194,731","210,202","195,282","212,196","189,465","202,820","225,826","242,188"
2009,106,중구청,"62,932","67,512","63,807","69,058","73,883","78,745","71,981","77,261","69,751",73787,"70,370","74,427","70,386","74,718","65,789","68,973","70,045","73,347","67,250","71,119","64,952","68,345","69,338","73,911"
2009,107,서대전네거리,"218,279","224,246","216,811","223,045","235,239","236,883","226,093","228,510","240,777",245227,"221,778","224,352","221,103","225,972","221,034","227,730","221,834","223,152","218,696","221,197","210,142","212,464","231,412","235,369"
2009,108,오룡,"109,653","98,054","112,098","100,357","130,661","116,192","127,225","111,764","123,599",107777,"120,328","105,087","117,544","103,253","112,940","99,760","120,549","105,269","117,325","103,099","114,905","100,290","122,779","107,086"
2009,109,용문,"207,686","214,810","204,378","208,392","219,835","224,554","209,290","213,975","212,963",216945,"205,416","207,936","208,889","210,849","201,472","203,988","206,279","208,500","206,339","207,989","196,003","198,434","214,427","219,142"
2009,110,탄방,"116,049","131,780","116,650","132,579","129,124","147,604","126,197","143,126","126,921",144232,"122,893","139,243","127,023","144,501","121,028","137,284","123,759","140,925","119,974","137,546","115,938","133,284","129,986","149,436"
